identifiant,pays_code,pays,secteur_activite_code,secteur,denomination_sociale,adresse_1,adresse_2,adresse_3,adresse_4,code_postal,ville
GHLERHGY,[FR],FRANCE,[PA],Prestataires associés,SOS OXYGENE GRAND SUD,Quartier la Garrigue du Rameyron Zone Artisanale,"","","",84830,Sérignan du comtat
HJIZZZXP,[FR],FRANCE,[DM],Dispositifs médicaux,BALT EXTRUSION SAS,10 rue Croix Vigneron,"","","",95160,MONTMORENCY
VRAYDMGD,[FR],FRANCE,[PA],Prestataires associés,S.O.S OXYGENE ILE DE France,Bâtiment C 21 Rue Albert Calmette,"","","",78350,jouy en josas
HJTHYWQP,[FR],FRANCE,[PA],Prestataires associés,SOS OXYGENE ILE DE France EST,14 rue Leonard de Vinci,"","","",77170,Brie Comte Robert
OULGALUP,[FR],FRANCE,[PA],Prestataires associés,SOS OXYGENE MEDITERRANEE,rue des sculpteurs Zone Artisanale Bel Air 1,"","","",12000,rodez
JIWTALIP,[FR],FRANCE,[PA],Prestataires associés,SOS OXYGENE MEDITERRANEE,87 Avenue des Cocardières ZAC Via Domitia Nord Lien,"","","",34160,Castries
HUUWTJUK,[FR],FRANCE,[PA],Prestataires associés,SOS OXYGENE LORRAINE,35 rue André Fruchard,"","","",54320,Maxeville
JDTPOLNG,[FR],FRANCE,[PA],Prestataires associés,SOS OXYGENE NORD JOLY MEDICAL,Eleu dit Leauwette BP 301 ZAL Bat A Rue Bleriot    ,"","","",62334,Lens
HQJHZJLX,[FR],FRANCE,[PA],Prestataires associés,SOS OXYGENE NORD JOLY MEDICAL,Rue Ambroise Croizat Zac de la Blanche Tache,"","","",80450,Camon
NBYZISCJ,[FR],FRANCE,[PA],Prestataires associés,S.O.S. OXYGENE NORMANDIE,ZI les Patis 16 rue des Patis,"","","",76140,le petit quevilly
KWXRWYNW,[FR],FRANCE,[PA],Prestataires associés,SOS OXYGENE NORMANDIE,boulevard de l'europe ZI,"","","",14540,Bourguebus
NCRYUPWZ,[FR],FRANCE,[PA],Prestataires associés,SOS OXYGENE PAYS DE LOIRE,Rue Sacco et Vanzetti ZI de la Lorie,"","","",44800,Saint Herblain
NOSGJFCM,[FR],FRANCE,[PA],Prestataires associés,SOS OXYGENE PROVENCE,5 rue Ampère Parc d'activités de la Verdière 1,"","","",13880,Velaux
CZYINBTA,[FR],FRANCE,[PA],Prestataires associés,SOS OXYGENE RHONE ALPES,Route du Bourget,"","","",73420,Voglans
DOBFBUXV,[FR],FRANCE,[PA],Prestataires associés,SOS OXYGENE VAR,2 Allée des Genets Parc d'activité Maison de l'Entreprise ,"","","",04200,sisteron
OODROHUO,[FR],FRANCE,[MED],Médicaments humains,Stragen France,52 rue de la République,"","","",69002,Lyon
RXPVQGQO,[FR],FRANCE,[PA],Prestataires associés,C2R SAS,35 RUE GODOT DE MAUROY,"","","",75009,PARIS
SGXYKSJN,[GP],GUADELOUPE,[DM],Dispositifs médicaux,KARUKERA AUDITION,4 Bis Rue Achille René BOISNEUF,"","","",97110,POINTE A PITRE
QMBLJTSI,[FR],FRANCE,[AUT],Autres,CENTRALE DES OPTICIENS,50 rue de Paradis,"","","",75010,PARIS
TBSOOWPZ,[FR],FRANCE,[DM],Dispositifs médicaux,PRODIS,69 Rue Gorge de Loup,Centre d'affaires Benoît,Bâtiment D,"",69009,Lyon
DEGAACSM,[CH],SUISSE,[AUT],Autres,Vifor Fresenius Medical Care Services AG,Rechenstrasse 37,"","","",9014,St. Gallen
ZZSYDGYD,[US],ÉTATS-UNIS,[MED],Médicaments humains,"Salix Pharmaceuticals, Inc.",8510 Colonnade Center Drive,North Carolina,"","",27615 ,Raleigh
EUHSLELF,[GP],GUADELOUPE,[DM],Dispositifs médicaux,ANTILLES AUDITION GUADELOUPE,14 RUE DU DOCTEUR PITAT,"","","",97100,BASSE TERRE
JLCNORRY,[FR],FRANCE,[AUT],Autres,OrpheliPharm,20 Avenue de Neuhof,"","","",67100,Strasbourg
AQEVTUQK,[DE],ALLEMAGNE,[AUT],Autres,esanum GmbH,Schönhauer Allee 45a,"","","",10437,Berlin
QKQVDTEX,[FR],FRANCE,[DM],Dispositifs médicaux,SARL LES MOUETTES OPTIQUE,13 RUE DE BELLEGARDE,"","","",17100,SAINTES
DQIESCRI,[FR],FRANCE,[PA],Prestataires associés,GECEM,85 RUE GABRIEL PERI,"","","",92120,MONTROUGE
KSQMITPM,[FR],FRANCE,[MED],Médicaments humains,NORDIC PHARMA SAS,254 boulevard St Germain,"","","",75007,PARIS
IYBVCQUP,[FR],FRANCE,[DM],Dispositifs médicaux,eurl generale d'optique,20 rue saint GURVAL,"","","",56380,GUER
OTNTFIAC,[FR],FRANCE,[DM],Dispositifs médicaux,GENERIC IMPLANTS,"19, chemin de la Plaine",Cap Ouest,"","",69390,Vourles
MOUGRHVH,[CH],SUISSE,[MED],Médicaments humains,PREGLEM,Route de Frontenex 41A,"","","",1207,GENEVE
KBEXMPUP,[IE],IRLANDE,[DM],Dispositifs médicaux,NEURAVI LIMITED,PARKMORE BUSINESS PARK WEST,"","","",AUCUN,GALWAY
RMDRGQKH,[FR],FRANCE,[DM],Dispositifs médicaux,TEXTILE HI-TEC,La Feuillade BP 20,"","","",34220,Verreries de Moussans
TRCSANOD,[FR],FRANCE,[MED],Médicaments humains,ABIVAX,5 rue de la Baume,"","","",75008,Paris
FFNHDGBJ,[FR],FRANCE,[DM],Dispositifs médicaux,ISIS BOURGOGNE,10 RUE DE LA BREUCHILLIERE,"","","",21000,DIJON
HLKBLEZT,[FR],FRANCE,[DM],Dispositifs médicaux,BIOTONE TECHNOLOGIE,33 AVENUE DES VANESSES,BP 53273 VILLEPINTE,"","",95957,ROISSY CDG
KYOBFOPR,[FR],FRANCE,[MED],Médicaments humains,DENTSPLY FRANCE,4 RUE MICHAEL FARADAY,ZA DU PAS DU LAC,"","",78180,MONTIGNY-LE-BRETONNEUX
WLYCXJZX,[FR],FRANCE,[DM],Dispositifs médicaux,Philippe Briere - Agent Commercial,allée du Rauba Faises,"","","",34300,Agde
SXYISZER,[FR],FRANCE,[DM],Dispositifs médicaux,LA GENETTE OPTIQUE,30 av jean guiton,"","","",17000,la rochelle
ADVBHMMI,[MX],MEXIQUE,[MED],Médicaments humains,Bristol-Myers Squibb Mexico,"1602,Ave Insurgentes Sur,Barranca del Muerto","","","",03940,Mexico
TYRGKVXA,[FR],FRANCE,[PA],Prestataires associés,ASSISTANCE SANTE A DOMICILE POITOU CHARENTES,17 rue des Charmes,"","","",79000,Bessines
GBWDNBMC,[FR],FRANCE,[AUT],Autres,BDS DENTAL DEPOT,2 RUE DE BALE,CENTRE D'ACTIVITES L'ESSOR DE L'ILL,"","",68180,HORBOURG WIHR
MDSZMXGF,[US],ÉTATS-UNIS,[MED],Médicaments humains,ULTRAGENYX PHARMACEUTICAL Inc.,Leveroni Court,"","","",94949,NOVATO
UEDHDCXA,[FR],FRANCE,[PA],Prestataires associés,ORTUS,"60, rue de Clichy","","","",75009,PARIS
GMZTQAXO,[IE],IRLANDE,[PA],Prestataires associés,ICON Clinical Research Limited,South County Business Park ,Leopardstown ,"","",18,Dublin  
BTIGFCTG,[FR],FRANCE,[AUT],Autres,AUDIOCOM,"14, rue pascal","","","",75005,paris
QZKPDJEG,[FR],FRANCE,[DM],Dispositifs médicaux,ODY-C,2 ch des Ayres,"","","",30740,LE CAILAR
EMALFIVA,[FR],FRANCE,[DM],Dispositifs médicaux,SPINEVISION,10 place du Général de Gaulle,Antony Parc II,"","",92184,ANTONY
VQZNJASU,[CH],SUISSE,[DM],Dispositifs médicaux,Symbios Orthopédie SA,Avenue des Sciences 1,"","","",1400,Yverdon-les-Bains 
DASJHQND,[FR],FRANCE,[PC],Produits cosmétiques,INDERMA LABORATOIRE DERMATOLOGIQUE,6B Boulevard Paul Vaillant Couturier,"","","",94200,IVRY-SUR-SEINE
WFMFTYTO,[FR],FRANCE,[DM],Dispositifs médicaux,Omron Santé France,"14, rue de Lisbonne","","","",93561,Rosny Sous Bois
LOMVXBUY,[FR],FRANCE,[PA],Prestataires associés,PRODAREV,121-129 rue de Bellevue,"","","",92100,BOULOGNE-BILLANCOURT
TIGSYUXQ,[FR],FRANCE,[DM],Dispositifs médicaux,STENTYS S.A,18 rue d'HAUTEVILLE,"","","",75010,PARIS
EAAOVTHH,[FR],FRANCE,[DM],Dispositifs médicaux,Agfa HealthCare France SA,4 AVENUE DE L'EGLISE ROMANE,"","","",33370,ARTIGUES-PRES-BORDEAUX
TJDMGFYW,[US],ÉTATS-UNIS,[DM],Dispositifs médicaux,Edwards Lifesciences LLC,One Edwards Way,"","","",CA 92614,Irvine
HSCISDYN,[FR],FRANCE,[AUT],Autres,Medical Education Global Solutions,"27 rue Raffet, Medical Education Global Solutions","","","",75016,Paris
ZUXMAEAS,[CH],SUISSE,[MED],Médicaments humains,NEOVII PHARMACEUTICALS AG,Zurcherstrasse 19,"","","",8640,RAPPERSWIL SG
HZQITJPF,[FR],FRANCE,[AUT],Autres,MADE IN AGENCE,51 rue de Rome,"","","",75008,Paris
DUNSYMZV,[FR],FRANCE,[AUT],Autres,Société Française de Recherche et Médecine du Sommeil,7 rue Corneille,"","","",75006,Paris 
MZKROPBW,[FR],FRANCE,[AUT],Autres,METAPLAN - Michel Borcier SAS,85 avenue de Saint Cloud,"","","",78000,Versailles
REIXEISB,[RO],ROUMANIE,[MED],Médicaments humains,Bristol-Myers Squibb Marketing Services SRL,"Bd. Lascar Catargiu, NR 47-53",5 Europe House Sector 1,"","",0,BUCHAREST
CJOIXTTS,[FR],FRANCE,[MED],Médicaments humains,CELGENE SAS,2 Avenue Gambetta,Tour EQHO,"","",92066,La Defense Cedex
PVOFKNQT,[FR],FRANCE,[MED],Médicaments humains,Alnylam France SAS,140 bis rue de rennes,bureau 410,"","",75006,Paris
CVHFHXLO,[GB],ROYAUME-UNI,[MED],Médicaments humains,Otsuka Pharmaceutical Europe Ltd,Gallions,Wexham Springs,Framewood Road,"",SL3 6PJ,Wexham
DBBWOMSX,[FR],FRANCE,[MED],Médicaments humains,AXIENCE,14 RUE SCANDICCI,TOUR ESSOR,"","",93500,PANTIN
FLAVRJNE,[FR],FRANCE,[DM],Dispositifs médicaux,CLS PARIS,320 AVENUE BERTHELOT,"","","",69008,LYON
KFFCXTUA,[FR],FRANCE,[DMDIV],Dispositifs médicaux de diagnostic in vitro,ACCELERATE DIAGNOSTICS,Montpellier Optimum - 450 Rue Baden Powell,"","","",34000,MONTPELLIER
HEYTOZAG,[FR],FRANCE,[MED],Médicaments humains,BAYER SANTE FAMILIALE,33 rue de l'Industrie,"","","",74240,Gaillard
CWVWGNBO,[FR],FRANCE,[AUT],Autres,Market iT,104 avenue Albert 1er,"","","",92500,Rueil-Malmaison
SYFAGYIA,[FR],FRANCE,[MED],Médicaments humains,PIERRE FABRE SA,12 AVENUE HOCHE,"","","",75008,PARIS
CULWYRZG,[FR],FRANCE,[DM],Dispositifs médicaux,CIDELEC,20 rue des métiers,"","","",49130,sainte gemmes sur loire
QXSLPWIR,[IT],ITALIE,[MED],Médicaments humains,BRISTOL-MYERS SQUIBB S.r.l,40/46 Piazzala Dell'industria ,"","","",00144,ROME
RMBWZZZN,[NL],PAYS-BAS,[AUT],Autres,Excerpta Medica BV,Herikerbergweg 17,Apollo building,"","",1101 CN,Amsterdam
GDDTUYKM,[CH],SUISSE,[DM],Dispositifs médicaux,ADMEDUS GmbH,fabrikstrasse 50,C/o BDO Ag,"","",8005,Zurich
WZXDQNAO,[FR],FRANCE,[MED],Médicaments humains,Cheplapharm France,105 rue Anatole France,"","","",92300,Levallois-Perret
JKMNRGZN,[FR],FRANCE,[PA],Prestataires associés,Nord Santé,59 avenue de l'Union,"","","",59200,tourcoing
PYDHWSPX,[FR],FRANCE,[DM],Dispositifs médicaux,Haemonetics France,53 rue de l'Etang,"","","",69760,Limonest
LVJAPHGF,[FR],FRANCE,[DM],Dispositifs médicaux,HIGHLIFE,Tour Maine-Montparnasse,BP161,33 Avenue du Maine,"",75755,Paris Cedex 15
IOINTYMQ,[FR],FRANCE,[DM],Dispositifs médicaux,Molnlycke Health Care,13 allée du chateau blanc ,CS 70205,"","",59445,Wasquehal 
NJNZPCKZ,[IL],ISRAËL,[DM],Dispositifs médicaux,VALTECH CARDIO LTD,3 ARIEL SHARON AVENUE ,OR YEHUDA,"","",60376 ,OR YEHUDA
EHQLWTEH,[FR],FRANCE,[AUT],Autres,BACK2MEDICAL,LIEU DIT CHAZOLS,"","","",42380,LURIECS
XBYKTYRB,[GB],ROYAUME-UNI,[PA],Prestataires associés,UBC Late Stage (UK) Limited,26-28 Hammersmith Grove,"","","",W6 7HA,London
MKDIFWVV,[US],ÉTATS-UNIS,[MED],Médicaments humains,Celgene Corporation,86 Morris Avenue,"","","",07901,SUMMIT NT
IQTURRDU,[FR],FRANCE,[DM],Dispositifs médicaux,IN LOG SAS,53 RUE DE L ETANG,"","","",69760,LIMONEST
BUXZAYRQ,[FR],FRANCE,[DM],Dispositifs médicaux,GREATBATCH MEDICAL,4 Rue Renée et Louis Landanger,"","","",52000,CHAUMONT
SXLLHJBT,[FR],FRANCE,[PC],Produits cosmétiques,TLM DERMATO,LE FORUM,29 RUE MAURICE FLANDIN ,"","",69003,LYON
OSQJOFWA,[US],ÉTATS-UNIS,[AUT],Autres,Leadership In Medicine,1110 New Boston Rd,Norwich,VT,PO Box 901,05055,Norwich
OYLATQZG,[FR],FRANCE,[DM],Dispositifs médicaux,ISIS MEDICAL AQUITAINE,ZA AIRSPACE,Rue Gagarine,"","",33185,LE HAILLAN
GVYKPPBQ,[FR],FRANCE,[DM],Dispositifs médicaux,MBAR ASSISTANCE RESPIRATOIRE,1 IMPASSE DE LA BRIAUDIERE,ZA DE LA CHATAIGNERAIE,"","",37510,BALLAN-MIRE
BWGBERBS,[FR],FRANCE,[PA],Prestataires associés,European Market Maintenance Assessment,18 RUE DE LA RENARDIERE,"","","",94120,FONTENAY SOUS BOIS
JPQFNTPX,[US],ÉTATS-UNIS,[DM],Dispositifs médicaux,Edwards Lifesciences Corp.,One Edwards Way,"","","",CA 92614,Irvine
UCHTDQZI,[FR],FRANCE,[PA],Prestataires associés,VIVISOL France,1195 AVENUE SAINT JUST,"","","",77000,VAUX-LE-PÉNIL
UXWMHOCF,[CH],SUISSE,[DM],Dispositifs médicaux,SPINEART SA,20 route de Pré-Bois,"","","",1215,Genève
ISYCINIE,[FR],FRANCE,[DM],Dispositifs médicaux,SPINEART FRANCE,30 RUE AUGUSTE PICCARD,"","","",01630,SAINT-GENIS-POUILLY
OUMNRESV,[FR],FRANCE,[MED],Médicaments humains,PIERRE FABRE MEDICAMENT,45 PLACE ABEL GANCE,"","","",92100,BOULOGNE
OLYZGODI,[US],ÉTATS-UNIS,[MED],Médicaments humains,"Ignyta,Inc.",4545 Towne Centre Court,California,"","",92121,San Diego
NNTBHJBZ,[FR],FRANCE,[MED],Médicaments humains,melisana Pharma,Melisana Pharma,8 av des Minimes,"","",94300,Vincennes
CFJYPKZJ,[FR],FRANCE,[MED],Médicaments humains,ElsaLys Biotech,317 avenue jean jaures,"","","",69007,lyon
JWEOIODV,[MQ],MARTINIQUE,[AUT],Autres,HYGIENE SANTE ENVIRONNEMENT,Immeuble Opale,Zac Etang Z'Abricot,"","",97200,FORT DE FRANCE
YLTQRYKB,[BE],BELGIQUE,[AUT],Autres,suazio nv,Dianalaan 151,"","","",2600,Berchem
DCYSZPRM,[FR],FRANCE,[MED],Médicaments humains,NORGINE PHARMA,2 RUE JACQUES DAGUERRE,"","","",92565,RUEIL MALMAISON CEDEX
KEIINKKU,[FR],FRANCE,[DM],Dispositifs médicaux,Glaukos France SASU,21 BOULEVARD HAUSSMANN,"","","",75009,PARIS
EQLXCXOS,[FR],FRANCE,[DM],Dispositifs médicaux,VENTIL'O2,3 RUE DES TILLEULS,"","","",80260,BERTANGLES
VAERHQIK,[FR],FRANCE,[DM],Dispositifs médicaux,LDSANTE,3 PLACE JEAN MERMOZ,"","","",92400,COURBEVOIE
TGNXDUON,[LU],LUXEMBOURG,[AUT],Autres,Concept Infos,2 route de Remich,"","","",L5690,ELLANGE
NROELHDQ,[FR],FRANCE,[MED],Médicaments humains,NOVARTIS VACCINES AND DIAGNOSTICS SAS,"10, rue Chevreul","","","",92150,SURESNES
XLXKCNFU,[FR],FRANCE,[AUT],Autres,IMAGENCE,110 BD JEAN JAURES,"","","",92100,BOULOGNE BILLANCOURT
XLOXZLYJ,[FR],FRANCE,[DM],Dispositifs médicaux,Cleanis SAS,33 Avenue du Maine,BP07 - Tour Montparnasse,"","",75015,Paris
IVQLXOMT,[FR],FRANCE,[PA],Prestataires associés,PERF ASSISTANCE,19 RUE RENE CASSIN,ZA L'ARCHE D'OE,"","",37390,NOTRE DAME D'OE
WNIRARMJ,[US],ÉTATS-UNIS,[AUT],Autres,Mindfrog,7809 Entrada de Luz East,"","","",92127,San Diego
BKQYBMDD,[FR],FRANCE,[DM],Dispositifs médicaux,SARL ORTHO SANTE,28 Rue du Général de Gaulle,"","","",36320,Villedieu sur indre
GXELULTW,[FR],FRANCE,[DM],Dispositifs médicaux,BIOXIS PHARMACEUTICALS,317 avenue Jean Jaurès,"","","",69007,LYON
VNQXFFWZ,[US],ÉTATS-UNIS,[AUT],Autres,MKO Global Partners,4848 North 36th Street Unit 229 ,"","","",85018,"Phoenix, Arizona "
WYDUAOCO,[FR],FRANCE,[MED],Médicaments humains,PHR Lab,78 Boulevard de la République,"","","",92100,Boulogne-Billancourt
KGCETAIO,[FR],FRANCE,[MV],Médicament vétérinaire,OSALIA,27-29 RUE RAFFET,"","","",75016,PARIS
UHDHJZJK,[FR],FRANCE,[MV],Médicament vétérinaire,LABORATOIRE L.C.V.,Z.I. Plessis Beuscher,"","","",35220,Châteaubourg
AWZUWCUU,[CA],CANADA,[MED],Médicaments humains,BMS Canada Co.,2344 Alfred-Nobel,Suite 300,"","",0,ST LAURENT QC
DJZKVHPQ,[IE],IRLANDE,[MED],Médicaments humains,Retrophin Europe Limited,"Palmerston House, 2nd Floor",Fenian Street,Dublin 2,"",662881,Dublin
TCVKXPZC,[FR],FRANCE,[MED],Médicaments humains,Leadiant Biosciences SASU,La Grande Arche - Paroi Nord,Puteaux,"","",92044,Paris La Défense CEDEX
DGKSBNUQ,[FR],FRANCE,[AUT],Autres,HANDI PHARM BRETAGNE,205 RUE COATANLEM,"","","",56850,CAUDAN
EBTIVECO,[GB],ROYAUME-UNI,[AUT],Autres,Semantics MR LTD,Great West Hous,Great West Road,Brentford,"",TW8 9DF,London
HOSWZZPO,[FR],FRANCE,[MED],Médicaments humains,ADDMEDICA,37 rue de Caumartin ,"","","",75009,PARIS
ONDQVLAP,[FR],FRANCE,[DM],Dispositifs médicaux,HELIOS CHIRURGIE,21 BIS RUE PERTUIS BRETON,"","","",17340,CHATELAILLON
OEVCLPMH,[FR],FRANCE,[DM],Dispositifs médicaux,OLEA MEDICAL S.A,ZI ATHELIA IV,93 AVENUE DES SORBIERS,"","",13600,LA CIOTAT
WJJBFRRM,[FR],FRANCE,[MED],Médicaments humains,NORGINE SAS,2 rue Jacques Daguerre,"","","",92500,Rueil-Malmaison
UPSSRFJB,[SA],ARABIE SAOUDITE,[MED],Médicaments humains,Bristol-Myers Squibb,Salehiya Establishment Palestine Street,Jamjoom Center - Tower # 2, 7 th Floor - P.P Box 16760,"",21474,Jeddah
WELPSQGE,[FR],FRANCE,[DM],Dispositifs médicaux,FLUM,100 rue Louis Blanc,"Les Marches de l'Oise, Bât Lisbonne","","",60160,MONTATAIRE
ZRMFAQUC,[FR],FRANCE,[PA],Prestataires associés,ISIS AVEYRON,665 rue Barthélémy Thimonnier,ZA Malan 4,"","",12510,OLEMPS
GWVIKBWU,[MQ],MARTINIQUE,[MED],Médicaments humains,BOIRON CARAIBES,LE VERGER - 16 RUE CASE NEGRES - PLACE D'ARMES,"","","",97232,LE LAMENTIN
UWNDJRDA,[FR],FRANCE,[DM],Dispositifs médicaux,SOUTHERN IMPLANTS FRANCE,434 Rue Saint-Martin,"","","",84120,Pertuis
UKCMRASU,[FR],FRANCE,[PA],Prestataires associés,Isis Méditerranée,21 zac du pujol 2,"","","",13390,auriol
VADGUVVN,[FR],FRANCE,[DM],Dispositifs médicaux,CORMOVE,8 rue Emile Louyot,ZI d'Outreville,"","",60540,BORNEL
DVSCMZIQ,[AT],AUTRICHE,[MED],Médicaments humains,Merz Pharma Austria GmbH,Guglgasse 17,"","","",1110,Wien
FJDDHCEV,[FR],FRANCE,[PA],Prestataires associés,Dompé France SAS,195 avenue Charles de Gaulle,"","","",92200,Neuilly/seine
TLWXTCJA,[FR],FRANCE,[PC],Produits cosmétiques,TECHNATURE,ZAC de Lannuzel,"","","",29460,DIRINON
TLNUXVJP,[BE],BELGIQUE,[DM],Dispositifs médicaux,SA GOODLIFE PHARMA,"Rue François Massart, 27","","","",1450 ,Chastre
UVITWCBK,[FR],FRANCE,[MED],Médicaments humains,Incyte Biosciences France,35ter avenue andre morizet,"","","",92100,Boulogne Billancourt
BMNADOMH,[NL],PAYS-BAS,[DM],Dispositifs médicaux,NuVasive Netherlands B.V.,"Jachthavenweg 109A, ","","","",1081 KM ,Amsterdam
ZJZRKJFM,[FR],FRANCE,[DM],Dispositifs médicaux,APNEOLE,270 CHEMIN DE CREMAT ,APNEOLE,"","",06200,NICE
QXMGJARA,[GB],ROYAUME-UNI,[MED],Médicaments humains,Osprey Health Consulting,Ashdene Farm,Priors Dean,"","",GU32 1BP,Petersfield
ORKBFOFX,[FR],FRANCE,[AUT],Autres,entendre chartres,95 AVENUE MARECHAL MAUNOURY,"","","",28000,CHARTRES
RMTGMGDY,[FR],FRANCE,[DM],Dispositifs médicaux,WINNCARE FRANCE,Le Pas du Chateau,"","","",85670,Saint-Paul-Mont-Penit
AWUVJMOS,[FR],FRANCE,[MED],Médicaments humains,MERCK SANTE,37 RUE SAINT ROMAIN,"","","",69008,LYON
BYHLGQMJ,[FR],FRANCE,[DM],Dispositifs médicaux,SURICOG,130 rue de Lourmel,"","","",75015,Paris
WCPHZKRY,[FR],FRANCE,[PC],Produits cosmétiques,RESULTIME,19 RUE PECLET,"","","",75015,PARIS
JPIUBXIR,[FR],FRANCE,[DM],Dispositifs médicaux,MICROLINE FRANCE,23 RUE DU ROULE,"","","",75001,PARIS
QBMTBRLR,[FR],FRANCE,[DM],Dispositifs médicaux,ORTHOMED SAS,360 avenue Saint Esteve ,ZAC de Saint Esteve ,"","",06640,Saint Jeannet 
AQURDWUB,[FR],FRANCE,[MED],Médicaments humains,MEDAC SAS,23 rue Pierre GILLES de Gennes ,"","","",69007,LYON
WZESDGGT,[FR],FRANCE,[AUT],Autres,A.L.A.I.R.,148 rue du Gué de Verthamont,"","","",87000,LIMOGES
QZEOEPNT,[IT],ITALIE,[DM],Dispositifs médicaux,Adler Ortho srl,via dell'innovazione 9 ,"","","",20032,Cormano 
JIFUJJHM,[FR],FRANCE,[DM],Dispositifs médicaux,SOCIETE DE DIFFUSION DE MATERIEL OPTIQUE QUINIOU,53 GRAND RUE,"","","",67500,HAGUENAU
MBIXKGMX,[FR],FRANCE,[DM],Dispositifs médicaux,DUFLOT AUDITION,54 AV DE BOUTINY,"Zone Silic Bâtiment Liège, 1 place des Etats-Unis","Zone Silic Bâtiment Liège, 1 place des Etats-Unis","Zone Silic Bâtiment Liège, 1 place des Etats-Unis",06530,PEYMEINADE
FMGOSJEF,[DE],ALLEMAGNE,[DM],Dispositifs médicaux,Impulse Dynamics Germany GmbH,Breitwiesenstraße 19,"","","",70565 ,Stuttgart
EHSVDXDV,[US],ÉTATS-UNIS,[MED],Médicaments humains,"Rhythm Pharmaceuticals, Inc.",500 Boylston Street,"","","",02116,"Massachusetts, Boston"
CEOOQVAC,[FR],FRANCE,[PA],Prestataires associés,Mapi Life Science France SAS,41 RUE DES TROIS FONTANOT,"","","",92100,NANTERRE
WYPDKDGH,[FR],FRANCE,[MED],Médicaments humains,Tillotts Pharma France SAS,37-39 avenue Ledru-Rollin,"","","",75012,Paris
HZPHVLUQ,[FR],FRANCE,[DM],Dispositifs médicaux,Hands Up,"1133, avenue de Lyon","","","",01960,Peronnas
CKJHICBF,[FR],FRANCE,[MED],Médicaments humains,TEVA SANTE SAS,100-110 esplanade du général de Gaulle,"","","",92931,PARIS LA DEFENSE CEDEX
CGVURUCZ,[FR],FRANCE,[MV],Médicament vétérinaire,Dechra Veterinary Products SAS,60 avenue du centre,"","","",78180,Montigny Le Bretonneux
RCFTPWTH,[FR],FRANCE,[DM],Dispositifs médicaux,C.MEDIC FRANCE,51 RUE GEORGES CLEMENCEAU,"","","",85220,L'AIGUILLON SUR VIE
TAGZEAIB,[FR],FRANCE,[DMDIV],Dispositifs médicaux de diagnostic in vitro,BIO-RAD,"3, Boulevard Raymond Poincaré","","","",92430,MARNES LA COQUETTE
AWRXCRAD,[FR],FRANCE,[DM],Dispositifs médicaux,AZUR OXYGENE,17 Allée des Métallos,Zindustrielle,"","",06700,saint-laurent du var
QKQPCLRN,[FR],FRANCE,[DM],Dispositifs médicaux,Grandir Nature,12 rue de l'Industrie,"","","",67560,Rosheim
APPIZFRW,[FR],FRANCE,[DM],Dispositifs médicaux,GROUPE SOBER,391 Rue de l'Avenir,ZI des Vernailles Ouest,"","",69830,SAINT GEORGES DE RENEINS
CXBRFUQP,[FR],FRANCE,[MED],Médicaments humains,Laboratoire HEPATOUM,1 bis reu de Plaisance,"","","",94130,Nogent sur Marne
IGWXAZPI,[FR],FRANCE,[PC],Produits cosmétiques,MELISANA,1 Bis - 3 rue de Plaisance,"","","",94130,Nogent sur Marne
DVMTUUSW,[FR],FRANCE,[DM],Dispositifs médicaux,Laboratoires TERUMO S.A,RUE HELENE BOUCHER,IMMEUBLE URANUS PARC ARIANE,"","",78284,GUYANCOURT CEDEX
RBVUBMTB,[MC],MONACO,[MED],Médicaments humains,SAM TECHNI-PHARMA,7 rue de l'industrie,"","","",98000,MONACO
HTKPXEBD,[FR],FRANCE,[DM],Dispositifs médicaux,IS,11 AV DU TAPIS VERT,"","","",06220,VALLAURIS
ZEGBLERU,[US],ÉTATS-UNIS,[DM],Dispositifs médicaux,"Ascension Orthopedics, Inc.",8700 Cameron Road ,"","","",TX 78754,AUSTIN
SUXCEUAB,[FR],FRANCE,[AUT],Autres,LC ENTENDRE,10 RUE VILLETTE GATE,95 AVENUE MARECHAL MAUNOURY,95 AVENUE MARECHAL MAUNOURY,95 AVENUE MARECHAL MAUNOURY,28400,NOGENT LE ROTROU
NZHYKWNQ,[FR],FRANCE,[MED],Médicaments humains,VISUfarma,Drakkar 2 bat D 2405 route des Dolines,"","","",06560,Valbonne
OFCFSEWE,[FR],FRANCE,[MV],Médicament vétérinaire,COVETO LIMOGES,Avenue Louis Pasteur,Zone du Planty,"","",85600,LA GUYONNIERE
MYWXDSSD,[FR],FRANCE,[DM],Dispositifs médicaux,PARI PULMOMED,"11, avenue de l'Ile St Martin","","","",92737,Nanterre Cedex
AITYYRRE,[FR],FRANCE,[DM],Dispositifs médicaux,ACOUSTIQUE WERNERT,7 Avenue de la Libération,"","","",42000,SAINT-ETIENNE
KSIIIVUV,[US],ÉTATS-UNIS,[MED],Médicaments humains,Puma Biotechnology,10880 Wilshire Blvd,"","","",CA 90024,Los Angeles
OTPYUDZO,[FR],FRANCE,[MED],Médicaments humains,Sarepta International France,14 Avenue D Eylau,9 Gabrielle Circle,9 Gabrielle Circle,9 Gabrielle Circle,75116,Paris
XKPJVODW,[FR],FRANCE,[MV],Médicament vétérinaire,Elanco France SAS,24 BOULEVARD VITAL BOUHOT,CS50004,"","",92521,NEUILLY SUR SEINE CEDEX
